GT1,GT2,GT3,GT4,GT5
-7.071992158889770508e-01,1.311544656753540039e+00,7.850213050842285156e+00,-1.301091313362121582e+00,-1.036779642105102539e+00
-2.810535430908203125e-01,5.815530419349670410e-01,7.716847419738769531e+00,-7.888175249099731445e-01,-5.532211661338806152e-01
6.163414716720581055e-01,1.463644057512283325e-01,5.487909317016601562e+00,6.241537332534790039e-01,3.775365352630615234e-01
-7.263215184211730957e-01,2.942816913127899170e-01,7.224215984344482422e+00,-9.891345500946044922e-01,-1.017111539840698242e+00
-6.660876274108886719e-01,1.476252436637878418e+00,6.580768585205078125e+00,-9.957497119903564453e-01,-1.085730075836181641e+00
2.172662876546382904e-02,-4.481141865253448486e-01,7.425609111785888672e+00,-7.003155946731567383e-01,-6.763041615486145020e-01
-6.567078232765197754e-01,1.845761060714721680e+00,5.987417221069335938e+00,-7.331750392913818359e-01,-8.891167044639587402e-01
-7.769460678100585938e-01,1.245258212089538574e+00,6.786406993865966797e+00,-6.653088331222534180e-01,-7.944179177284240723e-01
5.280659794807434082e-01,1.878235220909118652e+00,6.986430168151855469e+00,-3.148521855473518372e-02,2.334117293357849121e-01
-6.971527338027954102e-01,7.807255983352661133e-01,7.984677314758300781e+00,-1.113165616989135742e+00,-9.387797713279724121e-01
-8.794414997100830078e-01,7.530042529106140137e-01,6.894135951995849609e+00,-1.013476133346557617e+00,-1.226414442062377930e+00
2.446769624948501587e-01,-9.042685627937316895e-01,5.361916542053222656e+00,-1.592813581228256226e-01,-1.126909255981445312e-01
-8.255610466003417969e-01,5.734500288963317871e-01,5.430736064910888672e+00,-1.086022496223449707e+00,-1.332621097564697266e+00
-9.249493479728698730e-01,1.438413023948669434e+00,7.434602737426757812e+00,-9.612048864364624023e-01,-1.054474115371704102e+00
2.772361338138580322e-01,8.247916102409362793e-01,6.291354656219482422e+00,-3.605670034885406494e-01,-3.535358309745788574e-01
-3.237836658954620361e-01,1.760422110557556152e+00,6.496331214904785156e+00,-2.377284020185470581e-01,-3.821471929550170898e-01
2.818924784660339355e-01,9.591260552406311035e-01,7.709568500518798828e+00,2.684261500835418701e-01,2.562291622161865234e-01
-7.180511951446533203e-01,5.116804242134094238e-01,5.517600059509277344e+00,-7.988219261169433594e-01,-8.159171938896179199e-01
-8.750724196434020996e-01,2.670319974422454834e-01,6.009694576263427734e+00,-6.496412754058837891e-01,-8.873156905174255371e-01
2.390138357877731323e-01,-6.171492338180541992e-01,5.544361591339111328e+00,7.324888557195663452e-02,-1.721031032502651215e-02
-1.419162750244140625e-01,-5.126549601554870605e-01,7.063572883605957031e+00,-1.597920805215835571e-01,-2.000419795513153076e-01
-3.737889230251312256e-01,1.913357138633728027e+00,6.702416896820068359e+00,-5.713838338851928711e-01,-4.123184978961944580e-01
-2.108676731586456299e-01,-3.174445629119873047e-01,6.315364837646484375e+00,-9.177821874618530273e-02,-3.409860730171203613e-01
-6.939940452575683594e-01,2.938869595527648926e-01,5.348748683929443359e+00,-9.314503073692321777e-01,-7.631229758262634277e-01
5.483387112617492676e-01,-9.900081753730773926e-01,5.297150611877441406e+00,4.370920360088348389e-01,2.059453129768371582e-01
6.283888220787048340e-01,-8.856933712959289551e-01,7.816715717315673828e+00,4.787087142467498779e-01,2.109677046537399292e-01
1.205069497227668762e-01,6.880447864532470703e-01,7.406665802001953125e+00,-1.293917149305343628e-01,-9.853743016719818115e-02
-6.219150424003601074e-01,1.647675514221191406e+00,6.017590999603271484e+00,-5.602207183837890625e-01,-6.379335522651672363e-01
2.204114049673080444e-01,-1.334610134363174438e-01,6.651054382324218750e+00,3.387173712253570557e-01,1.583321839570999146e-01
4.699150025844573975e-01,-3.090772926807403564e-01,6.397445678710937500e+00,8.925144374370574951e-02,-8.559021516703069210e-04
2.060851454734802246e-01,-3.399102091789245605e-01,6.536621093750000000e+00,4.926287010312080383e-02,7.154805213212966919e-02
5.424013137817382812e-01,-7.763042449951171875e-01,6.998035907745361328e+00,7.802795618772506714e-02,1.398763060569763184e-01
5.234664678573608398e-01,1.029635429382324219e+00,5.684658050537109375e+00,1.865919381380081177e-01,2.044108696281909943e-02
6.623542904853820801e-01,7.192867994308471680e-01,6.516506195068359375e+00,6.232782006263732910e-01,4.904291927814483643e-01
3.068131804466247559e-01,1.065308451652526855e+00,5.886146545410156250e+00,2.796998322010040283e-01,9.033346176147460938e-02
-3.243237733840942383e-01,1.968032121658325195e+00,6.196888923645019531e+00,-2.205602228641510010e-01,-4.746098220348358154e-01
1.206902880221605301e-02,1.898607850074768066e+00,7.760894775390625000e+00,-1.174751073122024536e-01,-1.647941023111343384e-01
1.617969274520874023e-01,7.592868804931640625e-02,5.687905311584472656e+00,-2.804035842418670654e-01,-5.131758451461791992e-01
4.266607165336608887e-01,-2.355884164571762085e-01,7.837039947509765625e+00,-9.210337698459625244e-02,-4.512993618845939636e-02
-1.260331869125366211e-01,1.386461973190307617e+00,6.073403358459472656e+00,-1.793944835662841797e-01,-1.798535436391830444e-01
5.953387022018432617e-01,1.133070588111877441e+00,5.366551399230957031e+00,3.880802094936370850e-01,5.433000922203063965e-01
-7.077782750129699707e-01,1.427912235260009766e+00,5.832377433776855469e+00,-8.749605417251586914e-01,-1.024758100509643555e+00
-4.720027744770050049e-01,-2.666534483432769775e-01,6.196146011352539062e+00,-8.480978608131408691e-01,-6.187786459922790527e-01
-4.336785376071929932e-01,2.670497298240661621e-01,7.015331268310546875e+00,-2.234301120042800903e-01,-4.758482575416564941e-01
-7.075330615043640137e-01,5.631704926490783691e-01,6.418817996978759766e+00,-1.002982020378112793e+00,-8.638840317726135254e-01
-6.742554306983947754e-01,7.457162737846374512e-01,6.624414920806884766e+00,-1.510491251945495605e+00,-1.243497848510742188e+00
-4.759952798485755920e-02,1.407153725624084473e+00,6.914143085479736328e+00,-2.801805138587951660e-01,-2.172785401344299316e-01
-3.585804402828216553e-01,1.058531165122985840e+00,6.093657970428466797e+00,-1.089906811714172363e+00,-8.018551468849182129e-01
-6.078378856182098389e-02,6.974993944168090820e-01,7.241753101348876953e+00,-4.483944773674011230e-01,-4.899065196514129639e-01
-6.027958393096923828e-01,1.140479207038879395e+00,6.006921768188476562e+00,-1.355509757995605469e+00,-1.161720752716064453e+00
4.704335033893585205e-01,-6.865597367286682129e-01,5.073152542114257812e+00,8.510242402553558350e-02,2.140212059020996094e-01
-7.198344469070434570e-01,3.797866106033325195e-01,7.688189029693603516e+00,-8.558139801025390625e-01,-7.866500020027160645e-01
-5.430704355239868164e-01,2.373840659856796265e-01,5.319425106048583984e+00,-3.655905723571777344e-01,-6.588396430015563965e-01
-3.312308192253112793e-01,-5.995910242199897766e-02,5.734167575836181641e+00,-5.714418888092041016e-01,-4.557009637355804443e-01
-4.191010892391204834e-01,4.025180637836456299e-01,6.859687328338623047e+00,-5.343387126922607422e-01,-5.096532106399536133e-01
4.757804274559020996e-01,-6.172388792037963867e-01,6.024882316589355469e+00,2.562530338764190674e-01,3.425153195858001709e-01
2.658265531063079834e-01,1.967871785163879395e+00,7.897994041442871094e+00,2.501664310693740845e-02,-8.415316045284271240e-02
3.298787772655487061e-01,1.456897139549255371e+00,6.529005050659179688e+00,-2.361281221965327859e-04,-1.981547325849533081e-01
4.596157968044281006e-01,-6.935989856719970703e-01,6.387412548065185547e+00,2.018137574195861816e-01,1.028239820152521133e-02
-5.087243914604187012e-01,-3.244350552558898926e-01,5.068259716033935547e+00,-4.710083901882171631e-01,-7.535467147827148438e-01
-1.810833364725112915e-01,1.106336116790771484e+00,5.402369499206542969e+00,-3.258829414844512939e-01,-2.579615116119384766e-01
-3.806773722171783447e-01,-9.430745244026184082e-02,6.137671947479248047e+00,-5.460774898529052734e-01,-7.869219779968261719e-01
5.162389278411865234e-01,1.004597544670104980e+00,7.598020076751708984e+00,1.700449585914611816e-01,1.916628032922744751e-01
-9.210976958274841309e-01,-8.537546992301940918e-01,7.164468765258789062e+00,-8.412842750549316406e-01,-1.048852801322937012e+00
-3.359377384185791016e-01,-2.758608758449554443e-01,5.141025066375732422e+00,-5.641362071037292480e-01,-3.769035339355468750e-01
6.187804341316223145e-01,5.854556560516357422e-01,7.676135063171386719e+00,5.163217782974243164e-01,5.109545588493347168e-01
2.728790342807769775e-01,1.920216321945190430e+00,5.512928009033203125e+00,2.138491570949554443e-01,2.591796815395355225e-01
1.109730228781700134e-01,5.359129905700683594e-01,5.209443569183349609e+00,-3.370868414640426636e-02,-2.620382308959960938e-01
1.951352506875991821e-01,-3.296586498618125916e-02,6.677685260772705078e+00,3.632120192050933838e-01,1.371822953224182129e-01
2.278337627649307251e-01,1.266088366508483887e+00,5.958729743957519531e+00,3.813007473945617676e-02,-1.185893267393112183e-01
2.073824219405651093e-02,-4.193332493305206299e-01,7.970364093780517578e+00,-7.456813752651214600e-02,-3.268832564353942871e-01
1.097762584686279297e-01,-8.121765255928039551e-01,7.656006813049316406e+00,3.446362912654876709e-01,7.859261333942413330e-02
3.919275403022766113e-01,2.722133137285709381e-02,6.294401168823242188e+00,4.109560847282409668e-01,3.194797933101654053e-01
4.313651919364929199e-01,4.667479991912841797e-01,6.891450881958007812e+00,6.526660323143005371e-01,3.653776645660400391e-01
-8.767158389091491699e-01,-2.297918498516082764e-01,6.856926918029785156e+00,-8.187603354454040527e-01,-1.024950265884399414e+00
1.964349448680877686e-01,5.336561426520347595e-02,7.235010623931884766e+00,-2.339039891958236694e-01,-3.015522062778472900e-01
3.374823331832885742e-01,9.097654819488525391e-01,7.509927272796630859e+00,3.691117167472839355e-01,9.827166050672531128e-02
-1.809184849262237549e-01,1.543864160776138306e-01,7.389709472656250000e+00,-3.842409253120422363e-01,-6.777036786079406738e-01
2.087824195623397827e-01,1.424147784709930420e-01,6.419847011566162109e+00,3.488427996635437012e-01,8.944853395223617554e-02
5.197487473487854004e-01,-4.277261197566986084e-01,5.451537132263183594e+00,3.060784339904785156e-01,3.202747106552124023e-01
-5.845927000045776367e-01,1.844668507575988770e+00,6.348355770111083984e+00,-5.433605909347534180e-01,-7.148705124855041504e-01
5.823285579681396484e-01,6.702659726142883301e-01,5.402791976928710938e+00,5.553457140922546387e-01,3.709391057491302490e-01
-9.808164238929748535e-01,-2.018067836761474609e-01,7.419641017913818359e+00,-1.012081861495971680e+00,-1.029513120651245117e+00
1.310272663831710815e-01,1.909468412399291992e+00,6.372984409332275391e+00,-1.821730732917785645e-01,-4.040017127990722656e-01
6.632704138755798340e-01,1.933988928794860840e+00,5.225051879882812500e+00,6.609898805618286133e-01,4.799833297729492188e-01
